Latitude,Longitude,Height (m),Data Rate (kbpms)
48.182078,11.614231,25.6,0
48.182078,11.614231,25.7,0
48.182078,11.614232,25.7,96.048
48.182078,11.614232,25.8,0
48.182078,11.614232,25.8,0.688
48.182078,11.614232,25.8,0
48.182078,11.614232,25.8,0
48.182078,11.614232,25.8,17.568
48.182078,11.614232,25.8,4.24
48.182078,11.614232,25.7,5.664
48.182078,11.614232,25.8,139.16
48.182077,11.614232,25.7,4.12
48.182077,11.614232,25.8,90.848
48.182077,11.614232,25.8,30.552
48.182077,11.614232,25.8,5.432
48.182077,11.614232,25.8,96.896
48.182077,11.614232,25.8,4.384
48.182077,11.614231,25.8,60.56
48.182076,11.614231,25.8,30.336
48.182076,11.614231,25.8,0
48.182075,11.61423,25.8,75.272
48.182075,11.61423,25.9,0
48.182074,11.614229,25.9,36.336
48.182073,11.614228,25.9,0
48.182072,11.614228,25.9,0
48.182071,11.614227,25.9,25.296
48.18207,11.614226,25.9,46.8
48.182069,11.614225,25.9,12.112
48.182068,11.614224,25.9,0
48.182067,11.614223,25.8,0
48.182066,11.614222,25.8,61.432
48.182065,11.614221,25.8,0
48.182064,11.61422,25.8,12.112
48.182063,11.614219,25.8,12.112
48.182062,11.614218,25.8,16.872
48.182059,11.614215,25.8,12.112
48.18206,11.614217,25.8,48.448
48.182058,11.614214,25.8,0
48.182056,11.614213,25.8,11.728
48.182055,11.614211,25.8,0
48.182053,11.61421,25.8,0
48.182052,11.614208,25.8,0
48.18205,11.614207,25.9,0
48.182049,11.614206,25.9,0
48.182048,11.614205,25.9,0
48.182047,11.614204,25.9,0
48.182047,11.614203,25.9,0
48.182043,11.614199,25.9,0
48.182042,11.614198,25.9,7.8
48.182041,11.614196,25.9,24.224
48.18204,11.614195,25.8,0
48.182039,11.614193,25.8,49.2
48.182037,11.614192,25.8,33.456
48.182036,11.614191,25.8,47.376
48.182034,11.614189,25.8,0
48.182033,11.614187,25.8,0
48.182032,11.614186,25.8,0
48.18203,11.614184,25.8,21.328
48.182029,11.614182,25.8,46.992
48.182027,11.614181,25.8,0
48.182026,11.614179,25.8,12.112
48.182024,11.614177,25.8,149.416
48.182023,11.614176,25.8,0
48.182022,11.614174,25.8,12.112
48.18202,11.614172,25.8,0
48.182018,11.614171,25.8,0
48.182017,11.614169,25.8,54.6
48.182015,11.614167,25.8,0
48.182013,11.614165,25.8,65.344
48.182011,11.614163,25.8,0
48.18201,11.614162,25.8,12.112
48.182008,11.61416,25.8,0
48.182005,11.614156,25.8,0
48.182003,11.614154,25.8,0
48.182001,11.614153,25.7,74.456
48.182,11.61415,25.7,0
48.181998,11.614148,25.7,0
48.181996,11.614147,25.7,44.888
48.181994,11.614145,25.7,1.264
48.181993,11.614143,25.7,1.752
48.181991,11.614141,25.7,12.112
48.181989,11.614139,25.7,0
48.181987,11.614137,25.7,0
48.181985,11.614135,25.7,0
48.181983,11.614133,25.7,0
48.181981,11.614131,25.7,32.816
48.181979,11.614129,25.7,0
48.181977,11.614126,25.7,12.112
48.181975,11.614124,25.7,0
48.181974,11.614122,25.7,1.664
48.181972,11.61412,25.7,0
48.18197,11.614118,25.7,0
48.181968,11.614116,25.7,31.064
48.181966,11.614114,25.7,0
48.181964,11.614112,25.7,0
48.181962,11.61411,25.7,0
